name,day,time,address
HalfSmoke,Tuesday,7:30PM,"651 Florida Avenue NW, Washington, DC 20001"
Wunder Garten,Wednesday,7:00PM,"1101 First Street NE, Washington, DC 20002"
Arcuri,Thursday,8:00PM,"2400 Wisconsin Ave NW, Washington, DC 20007"
Homestead,Wednesday,8:00PM,"3911 Georgia Ave NW, Washington, DC 20011"
MilkBoy ArtHouse,Tuesday,7:30PM,"7416 Baltimore Ave, College Park, MD 20740"
Maddy's Bar & Grille,Thursday,7:30PM,"1726 Connecticut Ave NW, Washington, DC 20009"
The Board and Brew,Thursday,7:30PM,"8150 Baltimore Ave, College Park, MD 20740"
Mister Days (Tuesday),Tuesday,7:00PM,"3100 Clarendon Blvd, Arlington, VA 22201"
Pizzeria Paradiso (MD),Tuesday,7:00PM,"4800 Rhode Island Avenue, Hyattsville, MD 20781"
Buffalo Billiards,Wednesday,7:30PM,"1330 19th St NW, Washington, DC 20036"
Agua 301,Monday,8:00PM,"301 water Street SE, Washington, DC 20003"
Irish Channel (Chinatown),Wednesday,7:00PM,"500 H St NW, Washington, DC 20001"
Bier Baron (Monday),Monday,7:30PM,"1523 22nd St NW, Washington, DC 20037"
Looney's Pub (Monday),Monday,7:00PM,"8150 Baltimore Avenue, College Park, MD 20740"
